,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
154,540.0,2018,2018,203095203932.0,Evan Fournier,0.69,-0.29,342.0,104.3,0.98,87.0,152.0
155,541.0,2018,2018,203095203932.0,Aaron Gordon,0.69,-0.29,342.0,104.3,0.98,87.0,152.0
160,540.0,2018,2018,203145203471.0,Kent Bazemore,0.4,-0.66,417.0,104.3,1.06,78.0,189.0
161,541.0,2018,2018,203145203471.0,Dennis Schroder,0.4,-0.66,417.0,104.3,1.06,78.0,189.0
162,540.0,2018,2018,202699203083.0,Tobias Harris,-0.54,-1.07,478.0,104.33,0.53,142.0,365.0
163,541.0,2018,2018,202699203083.0,Andre Drummond,-0.54,-1.07,478.0,104.33,0.53,142.0,365.0
164,540.0,2018,2018,202696203095.0,Evan Fournier,1.92,0.01,267.0,104.32,1.9,27.0,57.0
165,541.0,2018,2018,202696203095.0,Nikola Vucevic,1.92,0.01,267.0,104.32,1.9,27.0,57.0
168,540.0,2018,2018,201949204020.0,Tyler Johnson,-0.16,0.21,207.0,104.28,-0.37,349.0,299.0
169,541.0,2018,2018,201949204020.0,James Johnson,-0.16,0.21,207.0,104.28,-0.37,349.0,299.0
172,540.0,2018,2018,16261641627737.0,Devin Booker,1.56,0.59,140.0,104.3,0.97,88.0,76.0
173,541.0,2018,2018,16261641627737.0,Marquese Chriss,1.56,0.59,140.0,104.3,0.97,88.0,76.0
176,541.0,2018,2018,2544201567.0,Kevin Love,2.34,-1.41,508.0,104.42,3.75,2.0,39.0
177,540.0,2018,2018,2544201567.0,LeBron James,2.34,-1.41,508.0,104.42,3.75,2.0,39.0
182,540.0,2018,2018,101107203077.0,Michael Kidd-Gilchrist,-0.11,0.86,98.0,104.28,-0.97,457.0,286.0
183,541.0,2018,2018,101107203077.0,Marvin Williams,-0.11,0.86,98.0,104.28,-0.97,457.0,286.0
186,541.0,2018,2018,2772201569.0,Eric Gordon,3.64,1.27,49.0,104.33,2.37,17.0,11.0
187,540.0,2018,2018,2772201569.0,Trevor Ariza,3.64,1.27,49.0,104.33,2.37,17.0,11.0
188,540.0,2018,2018,202696203932.0,Aaron Gordon,1.2,0.92,94.0,104.28,0.28,186.0,100.0
189,541.0,2018,2018,202696203932.0,Nikola Vucevic,1.2,0.92,94.0,104.28,0.28,186.0,100.0
204,485.0,2017,2017,201584204001.0,Kristaps Porzingis,-0.37,-0.16,272.0,103.28,-0.21,268.0,292.0
205,486.0,2017,2017,201584204001.0,Courtney Lee,-0.37,-0.16,272.0,103.28,-0.21,268.0,292.0
206,485.0,2017,2017,201188203210.0,JaMychal Green,0.5,0.83,94.0,103.29,-0.34,289.0,162.0
207,486.0,2017,2017,201188203210.0,Marc Gasol,0.5,0.83,94.0,103.29,-0.34,289.0,162.0
210,485.0,2017,2017,202397202699.0,Tobias Harris,1.73,0.24,182.0,103.28,1.49,53.0,59.0
211,486.0,2017,2017,202397202699.0,Ish Smith,1.73,0.24,182.0,103.28,1.49,53.0,59.0
485,,2017,2017,2754201188.0,Marc Gasol,1.62,0.73,113.0,103.28,0.9,96.0,63.0
486,,2017,2017,2754201188.0,Tony Allen,1.62,0.73,113.0,103.28,0.9,96.0,63.0
485,,2017,2017,202694202699.0,Tobias Harris,-0.09,0.03,227.0,103.25,-0.12,247.0,252.0
486,,2017,2017,202694202699.0,Marcus Morris Sr.,-0.09,0.03,227.0,103.25,-0.12,247.0,252.0
