,Unnamed: 0,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
116,485,201188 203210,-0.34,0.83,0.5,162.0,289.0,94.0,103.29,JaMychal Green,2017,2017
118,486,200755 201601,1.31,1.73,3.04,20.0,67.0,28.0,103.29,JJ Redick,2017,2017
120,485,202397 202699,1.49,0.24,1.73,59.0,53.0,182.0,103.28,Tobias Harris,2017,2017
122,485,2754 201188,0.9,0.73,1.62,63.0,96.0,113.0,103.28,Marc Gasol,2017,2017
124,485,202694 202699,-0.12,0.03,-0.09,252.0,247.0,227.0,103.25,Tobias Harris,2017,2017
126,485,202397 203484,0.55,0.43,0.98,114.0,131.0,147.0,103.29,Kentavious Caldwell-Pope,2017,2017
128,485,2546 204001,0.14,0.13,0.27,198.0,189.0,204.0,103.28,Carmelo Anthony,2017,2017
130,485,200794 203145,-0.64,1.4,0.76,132.0,342.0,51.0,103.25,Kent Bazemore,2017,2017
132,485,201567 202684,0.87,0.68,1.55,72.0,99.0,117.0,103.28,Tristan Thompson,2017,2017
134,485,203459 203468,0.91,-1.18,-0.27,281.0,94.0,437.0,103.33,CJ McCollum,2017,2017
136,486,201587 203469,0.88,1.71,2.59,27.0,98.0,28.0,103.27,Cody Zeller,2017,2017
138,485,203897 1626157,0.5,-1.28,-0.79,342.0,138.0,447.0,103.33,Zach LaVine,2017,2017
140,486,200768 201942,2.79,0.37,3.16,17.0,16.0,157.0,103.34,DeMar DeRozan,2017,2017
142,485,2037 101109,-1.86,-0.59,-2.45,461.0,459.0,346.0,103.31,Jamal Crawford,2017,2017
144,485,2037 203085,0.39,-0.7,-0.31,285.0,151.0,368.0,103.32,Austin Rivers,2017,2017
146,485,202738 203935,4.29,-2.94,1.34,86.0,3.0,485.0,103.44,Isaiah Thomas,2017,2017
148,485,203503 203521,-0.09,-0.47,-0.55,312.0,238.0,327.0,103.29,Tony Snell,2017,2017
150,486,201960 202685,-0.55,-0.54,-1.09,372.0,326.0,334.0,103.28,Jonas Valanciunas,2017,2017
152,486,2772 201976,3.15,0.22,3.37,15.0,13.0,186.0,103.35,Patrick Beverley,2017,2017
154,485,200768 202685,1.82,0.33,2.15,42.0,40.0,163.0,103.31,Kyle Lowry,2017,2017
156,485,202355 203585,1.24,-0.31,0.94,120.0,71.0,301.0,103.29,Hassan Whiteside,2017,2017
158,486,2738 201939,4.5,0.4,4.89,3.0,1.0,154.0,103.37,Andre Iguodala,2017,2017
160,485,203081 203459,1.35,-2.12,-0.78,340.0,64.0,475.0,103.36,Damian Lillard,2017,2017
162,486,201935 201976,3.51,-0.65,2.86,23.0,8.0,350.0,103.39,James Harden,2017,2017
164,486,201142 203110,2.17,1.11,3.28,16.0,29.0,72.0,103.31,Draymond Green,2017,2017
166,485,2738 202691,1.47,0.19,1.66,62.0,54.0,194.0,103.31,Andre Iguodala,2017,2017
168,485,202339 203933,1.17,-0.91,0.26,202.0,73.0,400.0,103.33,T.J. Warren,2017,2017
170,485,203897 203952,0.38,-1.79,-1.4,402.0,153.0,471.0,103.34,Andrew Wiggins,2017,2017
172,485,201566 1627734,-0.94,1.31,0.37,173.0,387.0,56.0,103.26,Russell Westbrook,2017,2017
174,485,2749 201163,1.44,-1.45,-0.01,242.0,54.0,451.0,103.34,Wilson Chandler,2017,2017
176,485,200746 201980,0.36,1.56,1.92,53.0,156.0,37.0,103.24,Danny Green,2017,2017
178,485,203903 1626204,-0.69,-0.47,-1.16,376.0,351.0,328.0,103.27,Jordan Clarkson,2017,2017
180,485,202340 202738,1.45,-1.92,-0.47,302.0,56.0,474.0,103.41,Isaiah Thomas,2017,2017
182,485,201565 204001,1.0,-0.43,0.57,152.0,85.0,322.0,103.29,Derrick Rose,2017,2017
184,485,2730 200794,-1.26,1.98,0.72,137.0,425.0,19.0,103.2,Dwight Howard,2017,2017
186,485,202083 203552,0.59,0.31,0.91,120.0,128.0,166.0,103.29,Wesley Matthews,2017,2017
188,485,201572 1626178,-0.15,1.0,0.85,126.0,255.0,75.0,103.24,Rondae Hollis-Jefferson,2017,2017
190,485,203917 204456,-0.62,-1.08,-1.71,425.0,339.0,428.0,103.3,Nik Stauskas,2017,2017
192,485,101108 201601,1.1,2.6,3.7,14.0,79.0,6.0,103.26,Luc Mbah a Moute,2017,2017
194,486,202329 203468,0.81,1.94,2.74,24.0,104.0,20.0,103.28,Al-Farouq Aminu,2017,2017
196,485,203967 204456,-1.41,0.51,-0.9,353.0,437.0,136.0,103.24,Dario Saric,2017,2017
198,486,101161 202738,2.49,0.73,3.22,16.0,26.0,111.0,103.37,Isaiah Thomas,2017,2017
200,486,203476 203897,-0.86,0.03,-0.83,346.0,375.0,227.0,103.26,Gorgui Dieng,2017,2017
202,486,201601 201933,1.16,1.67,2.83,25.0,75.0,28.0,103.28,Blake Griffin,2017,2017
204,486,201959 202710,0.99,1.67,2.66,27.0,86.0,28.0,103.26,Taj Gibson,2017,2017
206,485,202340 203109,1.43,0.75,2.18,42.0,57.0,111.0,103.31,Jae Crowder,2017,2017
208,486,2225 202695,2.32,0.03,2.34,35.0,27.0,227.0,103.33,Tony Parker,2017,2017
