,player 1,1_ID,player 2,2_ID,rapm1,orapm1,drapm1,rapm2,orapm2,drapm2,rapm_pair,orapm_pair,drapm_pair,rapm_pair_test,orapm_pair_test,drapm_pair_test
80,Avery Bradley,202340,Isaiah Thomas,202738,-1.05,0.34,-1.39,1.34,4.39,-3.05,-0.47,1.45,-1.92,-0.47,1.45,-1.92
81,Derrick Rose,201565,Kristaps Porzingis,204001,0.33,1.37,-1.04,1.4,-0.17,1.56,0.57,1.0,-0.43,0.57,1.0,-0.43
82,Dwight Howard,2730,Paul Millsap,200794,-1.25,-2.73,1.48,3.02,1.02,2.0,0.72,-1.26,1.98,0.72,-1.26,1.98
83,Wesley Matthews,202083,,203552,0.08,0.08,-0.0,0.4,0.65,-0.25,0.91,0.59,0.31,0.91,0.59,0.31
84,Brook Lopez,201572,Rondae Hollis-Jefferson,1626178,0.47,0.43,0.04,-1.77,-2.32,0.55,0.85,-0.15,1.0,0.85,-0.15,1.0
85,Nik Stauskas,203917,T.J. McConnell,204456,0.04,0.89,-0.85,-1.7,-1.23,-0.47,-1.71,-0.62,-1.08,-1.71,-0.62,-1.08
86,Chris Paul,101108,Luc Mbah a Moute,201601,4.44,2.48,1.96,2.32,0.03,2.3,3.7,1.1,2.6,3.7,1.1,2.6
87,Al-Farouq Aminu,202329,CJ McCollum,203468,2.37,0.23,2.14,2.03,2.05,-0.02,2.74,0.81,1.94,2.74,0.81,1.94
88,Dario Saric,203967,T.J. McConnell,204456,-0.23,-0.98,0.76,-1.7,-1.23,-0.47,-0.9,-1.41,0.51,-0.9,-1.41,0.51
89,Amir Johnson,101161,Isaiah Thomas,202738,4.05,1.28,2.77,1.34,4.39,-3.05,3.22,2.49,0.73,3.22,2.49,0.73
90,Gorgui Dieng,203476,Zach LaVine,203897,1.09,-0.04,1.13,-1.76,-1.1,-0.66,-0.83,-0.86,0.03,-0.83,-0.86,0.03
91,Luc Mbah a Moute,201601,Blake Griffin,201933,2.32,0.03,2.3,2.2,2.23,-0.03,2.83,1.16,1.67,2.83,1.16,1.67
92,Taj Gibson,201959,Jimmy Butler,202710,0.17,-0.37,0.54,4.39,2.11,2.28,2.66,0.99,1.67,2.66,0.99,1.67
93,Avery Bradley,202340,Jae Crowder,203109,-1.05,0.34,-1.39,4.39,2.56,1.83,2.18,1.43,0.75,2.18,1.43,0.75
94,Tony Parker,2225,Kawhi Leonard,202695,1.15,0.54,0.61,2.7,3.47,-0.77,2.34,2.32,0.03,2.34,2.32,0.03
