,Unnamed: 0,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
218,540,,2018,2018,202694 203484,Marcus Morris Sr.,0.0,-0.44,376.0,104.3,0.44,155.0,260.0
220,540,,2018,2018,203083 203484,Andre Drummond,0.0,0.03,263.0,104.29,-0.03,257.0,260.0
222,540,,2018,2018,201577 202710,Jimmy Butler,0.0,-0.18,319.0,104.29,0.18,199.0,260.0
224,540,,2018,2018,2544 202681,LeBron James,0.0,0.39,172.0,104.29,-0.39,355.0,260.0
226,540,,2018,2018,201152 201952,Thaddeus Young,0.0,-0.33,344.0,104.3,0.33,175.0,261.0
228,540,,2018,2018,202339 1626164,Devin Booker,-1.23,-0.4,366.0,104.29,-0.83,437.0,438.0
230,540,,2018,2018,203076 203524,Anthony Davis,0.13,0.24,198.0,104.28,-0.11,282.0,235.0
232,540,,2018,2018,2546 201584,Courtney Lee,-0.0,0.03,263.0,104.29,-0.03,254.0,260.0
234,540,,2018,2018,202681 202684,Kyrie Irving,0.0,0.5,155.0,104.28,-0.5,370.0,260.0
236,540,,2018,2018,202694 203083,Marcus Morris Sr.,0.0,-0.2,324.0,104.3,0.2,196.0,260.0
238,540,,2018,2018,200746 202695,Kawhi Leonard,0.8,1.02,79.0,104.27,-0.23,316.0,141.0
240,540,,2018,2018,202738 203109,Jae Crowder,-2.65,-1.3,501.0,104.29,-1.35,492.0,517.0
242,540,,2018,2018,101108 201599,DeAndre Jordan,0.0,1.0,81.0,104.26,-1.0,459.0,260.0
