,Unnamed: 0,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
116,450,101162 202693,0.41,0.95,1.36,64.0,136.0,65.0,103.41,Marcin Gortat,2017,2017
118,450,203090 203468,1.7,-0.51,1.18,74.0,27.0,330.0,103.48,Maurice Harkless,2017,2017
120,451,2546 201565,1.2,-0.67,0.53,142.0,56.0,365.0,103.48,Derrick Rose,2017,2017
122,451,202693 203490,0.83,1.53,2.36,23.0,80.0,15.0,103.41,Markieff Morris,2017,2017
124,451,2544 202684,1.14,1.24,2.38,23.0,59.0,33.0,103.43,Tristan Thompson,2017,2017
126,450,200794 203471,-0.07,1.63,1.57,55.0,233.0,12.0,103.39,Paul Millsap,2017,2017
128,450,202699 203484,1.63,-0.47,1.16,75.0,28.0,324.0,103.44,Tobias Harris,2017,2017
130,450,201942 202685,1.01,-1.33,-0.32,274.0,67.0,423.0,103.47,Jonas Valanciunas,2017,2017
132,450,203903 1627742,0.25,-0.14,0.11,196.0,160.0,264.0,103.43,Brandon Ingram,2017,2017
134,450,201587 203077,-0.48,1.32,0.84,107.0,311.0,28.0,103.41,Michael Kidd-Gilchrist,2017,2017
136,451,201599 201601,0.43,2.77,3.19,9.0,135.0,2.0,103.41,DeAndre Jordan,2017,2017
138,450,203933 1626164,0.99,-1.31,-0.32,274.0,67.0,423.0,103.46,T.J. Warren,2017,2017
140,451,203500 203506,-0.9,1.8,0.91,99.0,376.0,8.0,103.36,Victor Oladipo,2017,2017
142,451,203095 203901,-0.88,0.22,-0.66,319.0,374.0,174.0,103.4,Evan Fournier,2017,2017
144,451,201142 202691,2.47,1.26,3.73,4.0,10.0,30.0,103.48,Klay Thompson,2017,2017
146,450,201950 203524,-0.19,1.31,1.12,76.0,255.0,27.0,103.38,Solomon Hill,2017,2017
148,450,201143 202738,2.11,-2.47,-0.36,279.0,17.0,450.0,103.54,Isaiah Thomas,2017,2017
150,450,200755 201933,0.91,0.37,1.28,67.0,75.0,143.0,103.45,Blake Griffin,2017,2017
152,451,201142 201939,3.27,0.87,4.14,2.0,2.0,71.0,103.49,Stephen Curry,2017,2017
154,450,203901 203932,0.63,-0.99,-0.35,279.0,99.0,400.0,103.46,Aaron Gordon,2017,2017
156,451,101108 201933,1.33,0.63,1.96,40.0,46.0,102.0,103.43,Chris Paul,2017,2017
158,450,201569 201935,1.63,-0.25,1.38,61.0,29.0,290.0,103.49,Eric Gordon,2017,2017
160,451,203095 203932,-0.16,0.31,0.16,188.0,249.0,152.0,103.41,Evan Fournier,2017,2017
162,450,203084 203552,0.62,0.76,1.37,63.0,102.0,85.0,103.42,Harrison Barnes,2017,2017
164,451,201567 202681,1.64,0.55,2.2,27.0,28.0,118.0,103.45,Kevin Love,2017,2017
166,451,203507 203521,0.35,0.17,0.52,144.0,144.0,186.0,103.42,Matthew Dellavedova,2017,2017
168,450,203145 203471,-0.62,0.09,-0.52,296.0,336.0,202.0,103.42,Kent Bazemore,2017,2017
170,450,101108 200755,1.43,1.12,2.55,18.0,40.0,44.0,103.44,Chris Paul,2017,2017
172,450,202699 203083,-1.01,-1.99,-3.0,446.0,386.0,446.0,103.44,Tobias Harris,2017,2017
174,451,202696 203095,-1.58,0.88,-0.69,321.0,426.0,69.0,103.36,Evan Fournier,2017,2017
176,450,201144 201188,0.95,-0.98,-0.03,224.0,73.0,400.0,103.44,Mike Conley,2017,2017
178,450,201949 204020,-1.66,1.45,-0.21,259.0,432.0,22.0,103.36,Tyler Johnson,2017,2017
180,450,201565 201584,0.57,-0.59,-0.03,224.0,110.0,347.0,103.44,Derrick Rose,2017,2017
182,450,1626164 1627737,-0.23,-0.42,-0.64,317.0,262.0,315.0,103.43,Devin Booker,2017,2017
184,450,203944 1626156,1.23,-0.15,1.08,83.0,54.0,265.0,103.45,Julius Randle,2017,2017
186,451,2544 201567,2.3,1.28,3.58,5.0,13.0,29.0,103.45,Kevin Love,2017,2017
188,451,201942 201960,1.05,-0.34,0.71,117.0,64.0,302.0,103.45,DeMar DeRozan,2017,2017
