,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
34,34.0,34.0,34.0,34.0,34.0,450.0,,,,,,,,,,,,,,,,,,,,2017,2017,203109201143.0,Jae Crowder,1.74,-0.24,288.0,103.46,1.98,19.0,49.0
35,35.0,35.0,35.0,35.0,35.0,451.0,,,,,,,,,,,,,,,,,,,,2017,2017,203109201143.0,Al Horford,1.74,-0.24,288.0,103.46,1.98,19.0,49.0
36,36.0,36.0,36.0,36.0,451.0,,,,,,,,,,,,,,,,,,,,,2017,2017,202691201939.0,Klay Thompson,4.64,0.72,88.0,103.49,3.92,1.0,1.0
37,37.0,37.0,37.0,37.0,450.0,,,,,,,,,,,,,,,,,,,,,2017,2017,202691201939.0,Stephen Curry,4.64,0.72,88.0,103.49,3.92,1.0,1.0
38,38.0,38.0,38.0,451.0,,,,,,,,,,,,,,,,,,,,,,2017,2017,202691201142.0,Klay Thompson,3.73,1.26,30.0,103.48,2.47,10.0,4.0
39,39.0,39.0,39.0,450.0,,,,,,,,,,,,,,,,,,,,,,2017,2017,202691201142.0,Kevin Durant,3.73,1.26,30.0,103.48,2.47,10.0,4.0
40,40.0,40.0,451.0,,,,,,,,,,,,,,,,,,,,,,,2017,2017,202691203110.0,Klay Thompson,4.12,1.21,37.0,103.45,2.91,4.0,3.0
41,41.0,41.0,450.0,,,,,,,,,,,,,,,,,,,,,,,2017,2017,202691203110.0,Draymond Green,4.12,1.21,37.0,103.45,2.91,4.0,3.0
42,42.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,201939201142.0,Stephen Curry,4.14,0.87,71.0,103.49,3.27,2.0,2.0
43,43.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,201939201142.0,Kevin Durant,4.14,0.87,71.0,103.49,3.27,2.0,2.0
44,451.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,201939203110.0,Stephen Curry,4.27,1.15,42.0,103.47,3.12,2.0,2.0
45,450.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,201939203110.0,Draymond Green,4.27,1.15,42.0,103.47,3.12,2.0,2.0
451,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,201142203110.0,Draymond Green,3.44,1.35,26.0,103.45,2.08,17.0,6.0
450,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,201142203110.0,Kevin Durant,3.44,1.35,26.0,103.45,2.08,17.0,6.0
